selling_price,km_driven,fuel,seller_type,transmission,owner,engine,max_power,seats,mileage,car_age
450000,145500,1,1,1,0,1248.0,74.0,5.0,23.4,11
370000,120000,1,1,1,2,1498.0,103.52,5.0,21.14,11
158000,140000,3,1,1,4,1497.0,78.0,5.0,17.7,19
225000,127000,1,1,1,0,1396.0,90.0,5.0,23.0,15
130000,120000,3,1,1,0,1298.0,88.2,5.0,16.1,18
440000,45000,3,1,1,0,1197.0,81.86,5.0,20.14,8
96000,175000,2,1,1,0,1061.0,57.5,5.0,17.3,18
45000,5000,3,1,1,2,796.0,37.0,4.0,16.1,24
350000,90000,1,1,1,0,1364.0,67.1,5.0,23.59,14
200000,169000,1,1,1,0,1399.0,68.1,5.0,20.0,12
500000,68000,1,1,1,2,1461.0,108.45,5.0,19.01,11
92000,100000,3,1,1,2,993.0,60.0,5.0,17.3,20
280000,140000,1,1,1,2,1248.0,73.9,5.0,19.3,16
200000,80000,3,1,1,2,1248.0,81.83,5.0,19.44,18
180000,90000,3,1,1,2,1061.0,67.0,5.0,18.9,16
400000,40000,3,1,1,0,1198.0,82.0,5.0,18.15,9
778000,70000,1,1,1,2,1248.0,88.5,7.0,24.52,9
500000,53000,1,1,1,2,1396.0,90.0,5.0,23.0,13
150000,80000,3,1,1,2,796.0,46.3,5.0,19.7,23
680000,100000,1,1,1,0,1396.0,88.73,5.0,22.54,9
174000,100000,1,1,1,2,1461.0,64.1,5.0,21.0,14
950000,50000,1,1,1,0,1498.0,98.6,5.0,25.5,8
525000,40000,1,1,1,0,1248.0,74.0,5.0,26.59,10
600000,72000,1,1,1,0,1248.0,88.8,5.0,21.5,13
500000,35000,3,1,1,0,1199.0,83.81,5.0,20.3,7
575000,45000,3,1,1,0,1197.0,83.1,5.0,21.4,9
275000,28000,3,1,1,0,796.0,47.3,5.0,24.7,8
300000,70000,1,1,1,0,1248.0,73.8,7.0,18.2,12
220000,120000,3,1,1,0,1061.0,67.0,5.0,18.9,16
254999,25000,3,1,1,0,796.0,34.2,8.0,16.8,7
670000,70000,1,1,1,0,1248.0,88.5,5.0,24.3,8
70000,50000,3,1,1,2,1248.0,81.83,5.0,19.44,22
150000,35000,3,1,1,2,796.0,35.0,5.0,14.0,13
730000,2388,3,1,1,0,1197.0,81.83,5.0,18.6,7
650000,16200,1,1,1,0,1248.0,88.5,5.0,24.3,8
330000,10000,0,1,1,2,796.0,40.3,4.0,33.44,6
366000,15000,3,1,1,0,998.0,67.1,5.0,23.95,6
1149000,5000,3,1,1,0,1591.0,121.3,5.0,17.0,6
150000,42000,3,1,1,0,1198.0,67.0,5.0,20.63,9
425000,60000,1,1,1,2,2179.0,138.03,7.0,13.93,14
150000,76000,3,1,1,0,796.0,37.0,4.0,16.1,13
2100000,5000,3,1,0,0,1368.0,160.77,5.0,16.0,6
925000,28900,3,0,1,0,1497.0,117.3,5.0,17.8,7
425000,86300,3,0,1,0,1497.0,116.3,5.0,16.8,12
675000,23300,3,0,0,0,1197.0,83.14,5.0,18.5,7
819999,32600,1,0,1,0,1248.0,88.5,5.0,24.3,7
390000,10300,3,0,1,0,998.0,67.05,5.0,23.95,7
1500000,77000,1,0,1,0,2982.0,168.5,7.0,12.55,11
700000,99000,1,0,1,0,2494.0,100.0,7.0,12.99,12
1450000,27800,1,0,0,2,2143.0,120.7,5.0,14.8,11
425000,49800,1,0,1,0,1498.0,98.63,5.0,24.7,10
1090000,151000,1,0,1,0,2477.0,175.56,7.0,13.5,12
600000,54700,1,0,1,0,1498.0,98.6,5.0,26.0,10
850000,64000,3,0,1,0,1462.0,103.25,5.0,20.65,7
525000,63000,1,0,1,0,1498.0,98.6,5.0,27.3,10
1650000,127700,1,0,0,2,2755.0,171.5,7.0,11.36,9
950000,99000,1,0,1,0,2494.0,100.6,7.0,12.99,9
1750000,33900,1,0,0,2,1968.0,174.33,5.0,17.68,12
1590000,25000,3,0,0,0,1798.0,138.03,5.0,14.28,7
1689999,50000,1,0,0,0,1968.0,187.74,5.0,18.53,12
1425000,59000,1,0,0,0,2143.0,170.0,5.0,14.84,12
265000,120000,1,1,1,0,1248.0,88.8,5.0,21.12,14
190000,110000,3,1,1,4,1197.0,78.9,5.0,20.36,14
425000,60000,1,1,1,0,1396.0,88.76,5.0,21.27,12
630000,147000,1,1,1,2,1248.0,74.0,5.0,26.59,10
600000,25000,3,1,1,4,1196.0,86.8,5.0,18.16,8
650000,30000,3,1,1,0,1197.0,83.1,5.0,21.4,6
540000,40000,1,1,1,0,1498.0,108.495,5.0,22.0,9
630000,135000,1,1,1,0,1498.0,98.6,5.0,25.1,10
448000,30000,3,1,0,0,998.0,67.0,5.0,20.51,7
500000,80000,1,1,1,0,1498.0,108.62,5.0,21.66,8
745000,70000,1,1,1,0,1248.0,88.5,5.0,24.3,9
1025000,9850,1,1,0,0,1248.0,88.5,5.0,24.3,6
235000,60000,3,1,1,2,1197.0,78.9,5.0,20.36,14
630000,70000,1,1,1,0,1248.0,74.0,5.0,25.2,9
1700000,78000,1,1,1,2,2982.0,168.5,7.0,12.55,10
450000,120000,1,1,1,2,1248.0,74.0,5.0,22.9,12
450000,120000,3,1,1,2,1373.0,93.7,7.0,16.02,13
50000,70000,1,1,1,0,1248.0,81.83,5.0,19.44,22
450000,170000,1,1,1,0,1598.0,103.6,5.0,20.54,12
1200000,140000,1,1,1,0,2494.0,100.6,8.0,12.99,9
610000,90000,1,1,1,0,1498.0,98.59,5.0,22.77,10
2500000,30000,3,1,0,2,1998.0,189.0,5.0,15.71,9
484999,10000,3,0,1,0,998.0,67.04,5.0,23.1,8
275000,49000,3,0,1,0,1198.0,67.05,5.0,19.02,9
315000,32000,3,0,1,0,796.0,47.3,5.0,24.7,9
275000,38000,3,0,1,0,796.0,47.3,5.0,24.7,9
475000,78000,1,0,1,0,1248.0,81.83,5.0,19.44,10
290000,28000,3,0,1,0,1086.0,68.05,5.0,19.81,13
280000,32000,3,0,1,0,796.0,35.0,5.0,14.0,8
225000,44000,2,0,1,0,998.0,58.2,5.0,26.2,15
455000,42000,3,0,1,0,1198.0,74.0,5.0,16.47,10
351000,45000,3,0,1,2,1086.0,68.05,5.0,19.81,10
535000,12000,3,0,1,2,1598.0,103.6,5.0,15.04,13
175000,55500,3,0,1,0,998.0,67.1,5.0,18.2,16
525000,61500,3,0,1,0,1197.0,82.85,5.0,18.5,12
600000,150000,1,1,1,0,1248.0,74.0,5.0,26.59,9
565000,72000,3,0,0,0,1197.0,82.0,5.0,19.1,9
120000,68000,3,0,1,4,796.0,46.3,5.0,19.7,17
725000,110000,1,1,1,0,1396.0,88.73,5.0,22.54,8
185000,77000,3,0,1,2,998.0,67.05,5.0,21.79,16
200000,100000,1,1,1,2,1248.0,90.0,5.0,18.8,15
615000,10000,3,1,1,0,1197.0,81.8,5.0,21.21,6
270000,100000,3,1,1,4,1196.0,73.0,7.0,15.37,9
610000,35000,3,1,1,0,1197.0,83.1,5.0,21.4,7
625000,70000,1,1,0,2,2179.0,120.0,8.0,11.79,11
400000,5000,3,1,1,2,1194.0,94.68,5.0,19.0,5
866000,37800,3,1,1,0,1591.0,121.3,5.0,17.0,8
700000,114000,3,1,1,0,1798.0,160.0,5.0,14.3,15
300000,48000,3,1,1,0,1172.0,65.0,5.0,15.8,15
1700000,32000,1,1,1,0,2179.0,155.0,7.0,15.1,6
375000,100000,1,1,1,0,1405.0,69.01,5.0,19.09,9
522000,150000,1,1,1,2,1582.0,126.32,5.0,22.32,12
451999,69000,1,1,1,0,1396.0,88.76,5.0,21.9,12
300000,100000,3,1,1,2,1798.0,138.1,5.0,14.53,16
475000,13000,3,1,1,0,998.0,67.04,5.0,21.63,5
780000,60000,1,1,1,0,1248.0,88.5,5.0,24.3,9
595000,40000,3,1,1,0,1197.0,83.14,5.0,20.85,8
440000,35000,3,1,1,0,998.0,67.04,5.0,20.51,8
300000,120000,1,1,1,2,1248.0,81.83,5.0,19.44,15
400000,70000,1,1,1,4,1461.0,83.8,5.0,20.45,11
1140000,50000,1,1,1,0,1582.0,126.2,5.0,19.67,9
850000,76139,1,1,1,0,1498.0,98.96,5.0,23.0,8
370000,175000,1,1,1,1,1248.0,73.9,5.0,19.3,13
350000,25000,3,1,1,0,999.0,67.0,5.0,23.01,7
360000,40000,3,1,1,2,998.0,67.04,5.0,23.1,10
105000,65000,3,1,1,1,796.0,46.3,5.0,19.7,17
625000,90000,1,1,1,2,1248.0,88.76,7.0,20.77,12
135000,80000,3,1,1,2,1086.0,62.1,5.0,17.92,16
700000,110000,1,1,1,2,1248.0,88.76,7.0,20.77,10
690000,1303,3,0,1,0,1198.0,86.7,5.0,17.8,6
3975000,31800,1,0,0,0,1968.0,188.0,5.0,17.01,7
5150000,20000,3,0,0,0,2487.0,214.56,5.0,22.37,6
3200000,45000,1,0,0,0,1999.0,177.0,5.0,19.33,8
4100000,17000,3,1,0,0,3604.0,280.0,5.0,9.5,8
4500000,21000,1,0,0,0,1999.0,148.31,7.0,12.83,6
6000000,37000,1,0,0,0,2987.0,254.79,5.0,13.5,8
3790000,29500,1,0,0,0,1995.0,187.74,5.0,22.48,7
2150000,27000,1,0,0,0,1248.0,81.83,5.0,19.44,8
5800000,7500,1,0,0,0,1995.0,190.0,5.0,16.78,6
1864999,50000,3,0,0,0,1798.0,177.46,5.0,14.67,7
2700000,35000,1,0,0,0,2143.0,204.0,5.0,15.0,9
1750000,19000,3,0,0,0,1451.0,141.0,5.0,13.96,6
795000,41000,3,0,0,0,1497.0,117.6,5.0,18.0,8
625000,39000,3,0,0,0,1798.0,138.03,5.0,14.28,12
3400000,22000,1,0,0,0,1969.0,190.0,5.0,18.0,7
2650000,53000,1,0,0,0,2967.0,241.4,7.0,12.07,10
535000,40000,1,0,1,0,1248.0,88.5,5.0,26.21,10
5850000,47000,1,0,0,0,2987.0,282.0,5.0,13.5,8
975000,72200,3,0,0,2,2497.0,150.0,5.0,10.8,15
805000,49900,3,0,1,0,1797.0,147.5,5.0,16.3,9
2625000,9000,1,0,0,0,1999.0,177.0,5.0,13.6,8
811000,11000,3,0,1,0,1198.0,108.5,5.0,17.0,7
375000,49000,3,1,1,0,1598.0,103.6,5.0,15.04,14
550000,95000,3,1,1,0,1797.0,147.5,5.0,16.3,13
645000,11000,3,0,0,0,1598.0,103.5,5.0,14.3,9
2550000,18000,3,0,0,0,1991.0,183.0,5.0,15.04,7
599000,46100,3,0,1,0,1373.0,93.7,7.0,16.02,11
2700000,16000,3,0,0,0,1991.0,181.04,5.0,14.74,8
875000,18000,3,0,0,0,1497.0,116.3,5.0,15.6,8
894999,9654,3,0,0,0,1197.0,81.8,5.0,19.56,6
175000,11000,3,0,1,0,998.0,67.05,5.0,23.95,14
340000,24300,3,0,1,0,1197.0,81.8,5.0,21.21,13
1525000,42163,1,0,0,2,2755.0,171.5,7.0,11.36,9
1025000,8000,1,0,0,0,1497.0,108.5,5.0,21.5,7
2150000,30000,1,0,0,0,1995.0,190.0,5.0,22.69,9
1900000,41000,3,0,0,0,2494.0,157.7,5.0,19.16,9
2900000,12000,1,0,0,0,1995.0,190.0,5.0,18.12,9
450000,71000,3,0,0,0,2362.0,164.7,5.0,12.1,16
850000,20000,3,1,1,0,1373.0,91.1,7.0,17.5,9
10000000,30000,3,1,0,0,1969.0,400.0,4.0,42.0,8
300000,100000,1,1,1,2,1598.0,103.6,5.0,20.54,14
575000,9500,3,1,1,0,1196.0,86.8,5.0,18.16,7
160000,120000,1,1,1,0,1399.0,68.0,5.0,20.0,14
515000,36600,3,1,1,0,1197.0,81.8,5.0,20.4,10
390000,50000,3,1,0,2,998.0,67.0,5.0,20.51,10
550000,14000,3,1,1,2,1197.0,81.83,5.0,18.6,9
40000,40000,3,1,1,2,796.0,37.0,4.0,16.1,26
220000,120000,1,1,1,0,1248.0,73.9,5.0,21.1,15
425000,70000,3,1,1,0,1197.0,82.0,5.0,18.9,10
480000,13000,3,1,1,0,999.0,75.0,5.0,19.44,6
400000,60000,3,1,1,2,1197.0,82.0,5.0,18.9,11
487000,35000,3,1,1,0,1197.0,85.8,5.0,19.1,11
386000,44000,3,1,1,2,1197.0,82.0,5.0,19.1,9
100000,120000,3,1,1,2,1493.0,100.0,5.0,13.0,20
300000,60000,1,1,1,0,1364.0,87.2,5.0,21.43,15
100000,60000,3,1,1,0,796.0,53.0,5.0,18.5,25
1750000,30000,1,1,1,2,2982.0,168.5,7.0,13.0,11
450000,15000,3,1,1,2,1198.0,82.0,6.0,18.15,9
490000,90000,1,1,1,0,1248.0,74.0,5.0,22.95,8
345000,47000,3,1,1,2,1497.0,118.0,5.0,17.0,16
85000,90000,3,1,1,0,993.0,60.0,5.0,17.3,20
215000,120600,3,1,1,2,998.0,67.1,5.0,18.9,15
320000,100000,3,1,1,4,1599.0,103.2,5.0,16.2,15
459999,60000,3,1,1,2,1197.0,83.14,5.0,20.85,9
65000,86000,3,1,1,0,1341.0,83.0,5.0,15.3,20
720000,5000,3,1,1,0,1197.0,81.86,5.0,18.6,5
800000,37000,1,1,1,0,1248.0,88.5,5.0,28.09,8
520000,14000,3,1,1,0,1199.0,84.0,5.0,20.3,6
580000,70000,1,1,1,0,1248.0,88.76,7.0,20.77,10
235000,120000,1,1,1,0,1248.0,81.83,5.0,19.44,13
600000,50000,3,1,1,0,1497.0,117.3,5.0,17.4,10
290000,60000,3,1,1,2,1198.0,86.8,5.0,19.4,11
360000,50000,0,1,1,0,998.0,58.16,5.0,26.6,9
550000,50000,3,1,1,0,1197.0,83.14,5.0,20.85,8
375000,70000,3,1,1,0,1197.0,82.85,5.0,18.5,12
40000,90000,3,1,1,2,1248.0,81.83,5.0,19.44,22
420000,35000,3,1,0,0,998.0,67.0,5.0,20.51,7
